Tanggal,Bawang Merah,Bawang Merah Ukuran Sedang,Bawang Putih,Bawang Putih Ukuran Sedang,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Cabai Merah,Cabai Merah Besar,Cabai Merah Keriting ,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Daging Ayam,Daging Ayam Ras Segar,Daging Sapi,Daging Sapi Kualitas 1,Daging Sapi Kualitas 2,Gula Pasir,Gula Pasir Kualitas Premium,Gula Pasir Lokal,Minyak Goreng,Minyak Goreng Curah,Minyak Goreng Kemasan Bermerk 1,Minyak Goreng Kemasan Bermerk 2,Telur Ayam,Telur Ayam Ras Segar
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,35000.0,35000.0,35850.0,35850.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,69150.0,69150.0,69150.0,81250.0,71650.0,90850.0,37750.0,37750.0,130000.0,136650.0,123350.0,15100.0,15500.0,14650.0,14950.0,14850.0,15000.0,15000.0,25650.0,25650.0
2021-01-05,35000.0,35000.0,35850.0,35850.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,69150.0,69150.0,69150.0,82900.0,71650.0,94150.0,37750.0,37750.0,130000.0,136650.0,123350.0,15100.0,15500.0,14650.0,14950.0,14850.0,15000.0,15000.0,25650.0,25650.0
2021-01-06,33350.0,33350.0,35850.0,35850.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,70400.0,70000.0,70850.0,84150.0,71650.0,96650.0,37750.0,37750.0,130000.0,136650.0,123350.0,15100.0,15500.0,14650.0,14950.0,14850.0,15000.0,15000.0,25500.0,25500.0
2021-01-07,33350.0,33350.0,35850.0,35850.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,70400.0,70000.0,70850.0,87500.0,76650.0,98350.0,37900.0,37900.0,129150.0,135850.0,122500.0,15000.0,15350.0,14650.0,14950.0,14850.0,15000.0,15000.0,25350.0,25350.0
2021-01-08,33350.0,33350.0,35850.0,35850.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,65850.0,65000.0,66650.0,84150.0,71650.0,96650.0,38400.0,38400.0,129150.0,135850.0,122500.0,14900.0,15150.0,14650.0,14950.0,14850.0,15000.0,15000.0,25350.0,25350.0
2021-01-11,34150.0,34150.0,35000.0,35000.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,61250.0,61650.0,60850.0,80850.0,68350.0,93350.0,38250.0,38250.0,129150.0,135850.0,122500.0,14900.0,15150.0,14650.0,14950.0,14850.0,15000.0,15000.0,25000.0,25000.0
2021-01-12,34150.0,34150.0,35000.0,35000.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,61250.0,61650.0,60850.0,80850.0,68350.0,93350.0,38500.0,38500.0,129150.0,135850.0,122500.0,15000.0,15350.0,14650.0,14950.0,14850.0,15000.0,15000.0,25000.0,25000.0
2021-01-13,34150.0,34150.0,35000.0,35000.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,60850.0,60000.0,61650.0,81650.0,70000.0,93350.0,38600.0,38600.0,129150.0,135850.0,122500.0,15000.0,15350.0,14650.0,14950.0,14850.0,15000.0,15000.0,24850.0,24850.0
2021-01-14,35000.0,35000.0,35000.0,35000.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,60850.0,60000.0,61650.0,85400.0,77500.0,93350.0,38600.0,38600.0,129150.0,135850.0,122500.0,15000.0,15350.0,14650.0,14950.0,14850.0,15000.0,15000.0,24500.0,24500.0
2021-01-15,35000.0,35000.0,35000.0,35000.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,61650.0,61650.0,61650.0,84600.0,77500.0,91650.0,38600.0,38600.0,129150.0,135850.0,122500.0,15000.0,15350.0,14650.0,14950.0,14850.0,15000.0,15000.0,24150.0,24150.0
2021-01-18,34150.0,34150.0,35850.0,35850.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,59600.0,58350.0,60850.0,81650.0,80000.0,83350.0,38600.0,38600.0,129150.0,135850.0,122500.0,15000.0,15350.0,14650.0,14950.0,14850.0,15000.0,15000.0,24000.0,24000.0
2021-01-19,34150.0,34150.0,35850.0,35850.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,59600.0,58350.0,60850.0,82500.0,80000.0,85000.0,38500.0,38500.0,129150.0,135850.0,122500.0,14900.0,15350.0,14500.0,14950.0,14850.0,15000.0,15000.0,23500.0,23500.0
2021-01-20,34150.0,34150.0,35850.0,35850.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,59600.0,58350.0,60850.0,85000.0,80000.0,90000.0,38350.0,38350.0,129150.0,135850.0,122500.0,14900.0,15350.0,14500.0,14950.0,14850.0,15000.0,15000.0,23500.0,23500.0
2021-01-21,34150.0,34150.0,35850.0,35850.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,59600.0,58350.0,60850.0,85000.0,80000.0,90000.0,38350.0,38350.0,129150.0,135850.0,122500.0,14900.0,15350.0,14500.0,14950.0,14850.0,15000.0,15000.0,23350.0,23350.0
2021-01-22,34150.0,34150.0,36150.0,36150.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,56250.0,56650.0,55850.0,81250.0,75850.0,86650.0,38350.0,38350.0,129150.0,135850.0,122500.0,14900.0,15350.0,14500.0,14950.0,14850.0,15000.0,15000.0,23000.0,23000.0
2021-01-25,35000.0,35000.0,36150.0,36150.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,55850.0,56650.0,55000.0,81250.0,80000.0,82500.0,37850.0,37850.0,133350.0,139150.0,127500.0,14750.0,15150.0,14350.0,14950.0,14850.0,15000.0,15000.0,22850.0,22850.0
2021-01-26,35000.0,35000.0,36150.0,36150.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,55850.0,56650.0,55000.0,82500.0,82500.0,82500.0,37500.0,37500.0,133350.0,139150.0,127500.0,14750.0,15150.0,14350.0,14950.0,14850.0,15000.0,15000.0,22850.0,22850.0
2021-01-27,35000.0,35000.0,36150.0,36150.0,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0,55850.0,56650.0,55000.0,85000.0,85850.0,84150.0,37150.0,37150.0,133350.0,139150.0,127500.0,14750.0,15150.0,14350.0,14950.0,14850.0,15000.0,15000.0,22850.0,22850.0
