Tanggal,Bawang Merah,Bawang Merah Ukuran Sedang,Bawang Putih,Bawang Putih Ukuran Sedang,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Cabai Merah,Cabai Merah Besar,Cabai Merah Keriting ,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Daging Ayam,Daging Ayam Ras Segar,Daging Sapi,Daging Sapi Kualitas 1,Daging Sapi Kualitas 2,Gula Pasir,Gula Pasir Kualitas Premium,Gula Pasir Lokal,Minyak Goreng,Minyak Goreng Curah,Minyak Goreng Kemasan Bermerk 1,Minyak Goreng Kemasan Bermerk 2,Telur Ayam,Telur Ayam Ras Segar
2021-01-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-01-04,"35,000","35,000","35,850","35,850","13,450","12,150","11,300","13,950","12,750","16,350","14,200","69,150","69,150","69,150","81,250","71,650","90,850","37,750","37,750","130,000","136,650","123,350","15,100","15,500","14,650","14,950","14,850","15,000","15,000","25,650","25,650"
2021-01-05,"35,000","35,000","35,850","35,850","13,450","12,150","11,300","13,950","12,750","16,350","14,200","69,150","69,150","69,150","82,900","71,650","94,150","37,750","37,750","130,000","136,650","123,350","15,100","15,500","14,650","14,950","14,850","15,000","15,000","25,650","25,650"
2021-01-06,"33,350","33,350","35,850","35,850","13,450","12,150","11,300","13,950","12,750","16,350","14,200","70,400","70,000","70,850","84,150","71,650","96,650","37,750","37,750","130,000","136,650","123,350","15,100","15,500","14,650","14,950","14,850","15,000","15,000","25,500","25,500"
2021-01-07,"33,350","33,350","35,850","35,850","13,450","12,150","11,300","13,950","12,750","16,350","14,200","70,400","70,000","70,850","87,500","76,650","98,350","37,900","37,900","129,150","135,850","122,500","15,000","15,350","14,650","14,950","14,850","15,000","15,000","25,350","25,350"
2021-01-08,"33,350","33,350","35,850","35,850","13,450","12,150","11,300","13,950","12,750","16,350","14,200","65,850","65,000","66,650","84,150","71,650","96,650","38,400","38,400","129,150","135,850","122,500","14,900","15,150","14,650","14,950","14,850","15,000","15,000","25,350","25,350"
2021-01-11,"34,150","34,150","35,000","35,000","13,450","12,150","11,300","13,950","12,750","16,350","14,200","61,250","61,650","60,850","80,850","68,350","93,350","38,250","38,250","129,150","135,850","122,500","14,900","15,150","14,650","14,950","14,850","15,000","15,000","25,000","25,000"
2021-01-12,"34,150","34,150","35,000","35,000","13,450","12,150","11,300","13,950","12,750","16,350","14,200","61,250","61,650","60,850","80,850","68,350","93,350","38,500","38,500","129,150","135,850","122,500","15,000","15,350","14,650","14,950","14,850","15,000","15,000","25,000","25,000"
2021-01-13,"34,150","34,150","35,000","35,000","13,450","12,150","11,300","13,950","12,750","16,350","14,200","60,850","60,000","61,650","81,650","70,000","93,350","38,600","38,600","129,150","135,850","122,500","15,000","15,350","14,650","14,950","14,850","15,000","15,000","24,850","24,850"
2021-01-14,"35,000","35,000","35,000","35,000","13,450","12,150","11,300","13,950","12,750","16,350","14,200","60,850","60,000","61,650","85,400","77,500","93,350","38,600","38,600","129,150","135,850","122,500","15,000","15,350","14,650","14,950","14,850","15,000","15,000","24,500","24,500"
2021-01-15,"35,000","35,000","35,000","35,000","13,450","12,150","11,300","13,950","12,750","16,350","14,200","61,650","61,650","61,650","84,600","77,500","91,650","38,600","38,600","129,150","135,850","122,500","15,000","15,350","14,650","14,950","14,850","15,000","15,000","24,150","24,150"
2021-01-18,"34,150","34,150","35,850","35,850","13,450","12,150","11,300","13,950","12,750","16,350","14,200","59,600","58,350","60,850","81,650","80,000","83,350","38,600","38,600","129,150","135,850","122,500","15,000","15,350","14,650","14,950","14,850","15,000","15,000","24,000","24,000"
2021-01-19,"34,150","34,150","35,850","35,850","13,450","12,150","11,300","13,950","12,750","16,350","14,200","59,600","58,350","60,850","82,500","80,000","85,000","38,500","38,500","129,150","135,850","122,500","14,900","15,350","14,500","14,950","14,850","15,000","15,000","23,500","23,500"
