Tanggal,Cabai Merah Besar
2021-01-01,69150.0
2021-01-04,69150.0
2021-01-05,69150.0
2021-01-06,70000.0
2021-01-07,70000.0
2021-01-08,65000.0
2021-01-11,61650.0
2021-01-12,61650.0
2021-01-13,60000.0
2021-01-14,60000.0
2021-01-15,61650.0
2021-01-18,58350.0
2021-01-19,58350.0
2021-01-20,58350.0
2021-01-21,58350.0
2021-01-22,56650.0
2021-01-25,56650.0
2021-01-26,56650.0
2021-01-27,56650.0
2021-01-28,56650.0
2021-01-29,56650.0
2021-02-01,64150.0
2021-02-02,64150.0
2021-02-03,64150.0
2021-02-04,65850.0
2021-02-05,65850.0
2021-02-08,67500.0
2021-02-09,67500.0
2021-02-10,67500.0
2021-02-11,67500.0
2021-02-12,64575.0
2021-02-15,61650.0
2021-02-16,61650.0
2021-02-17,61650.0
2021-02-18,60850.0
2021-02-19,60000.0
2021-02-22,59150.0
2021-02-23,57500.0
2021-02-24,58350.0
2021-02-25,55850.0
2021-02-26,55850.0
2021-03-01,56650.0
2021-03-02,56650.0
2021-03-03,56650.0
2021-03-04,56650.0
2021-03-05,56650.0
2021-03-08,58350.0
2021-03-09,58350.0
2021-03-10,58350.0
2021-03-11,58350.0
2021-03-12,58350.0
2021-03-15,57500.0
2021-03-16,55850.0
2021-03-17,55850.0
2021-03-18,55850.0
2021-03-19,55850.0
2021-03-22,53350.0
2021-03-23,53350.0
2021-03-24,53350.0
2021-03-25,53350.0
2021-03-26,57500.0
2021-03-29,55850.0
2021-03-30,55850.0
2021-03-31,56650.0
2021-04-01,58350.0
2021-04-02,60000.0
2021-04-05,61650.0
2021-04-06,61650.0
2021-04-07,63350.0
2021-04-08,65000.0
2021-04-09,63350.0
2021-04-12,65000.0
2021-04-13,65000.0
2021-04-14,65000.0
2021-04-15,70000.0
2021-04-16,71650.0
2021-04-19,66650.0
2021-04-20,66650.0
2021-04-21,66650.0
2021-04-22,63350.0
2021-04-23,63350.0
2021-04-26,60000.0
2021-04-27,60000.0
2021-04-28,58350.0
2021-04-29,59450.0
2021-04-30,60000.0
2021-05-03,63350.0
2021-05-04,63350.0
2021-05-05,63350.0
2021-05-06,63350.0
2021-05-07,63350.0
2021-05-10,73350.0
2021-05-11,80000.0
2021-05-12,75412.5
2021-05-13,70825.0
2021-05-14,66237.5
2021-05-17,61650.0
2021-05-18,60000.0
2021-05-19,60000.0
2021-05-20,60000.0
2021-05-21,60000.0
2021-05-24,48350.0
2021-05-25,48350.0
2021-05-26,45850.0
2021-05-27,43350.0
2021-05-28,41650.0
2021-05-31,38350.0
2021-06-01,38350.0
2021-06-02,38350.0
2021-06-03,38350.0
2021-06-04,38350.0
2021-06-07,38350.0
2021-06-08,38350.0
2021-06-09,38350.0
2021-06-10,38350.0
2021-06-11,38350.0
2021-06-14,38350.0
2021-06-15,38750.0
2021-06-16,37400.0
2021-06-17,35750.0
2021-06-18,35750.0
2021-06-21,38650.0
2021-06-22,38650.0
2021-06-23,38650.0
2021-06-24,37000.0
2021-06-25,37000.0
2021-06-28,35350.0
2021-06-29,36650.0
2021-06-30,36650.0
2021-07-01,36650.0
2021-07-02,35000.0
2021-07-05,34150.0
2021-07-06,34150.0
2021-07-07,33350.0
2021-07-08,33350.0
2021-07-09,33350.0
2021-07-12,33350.0
2021-07-13,32500.0
2021-07-14,32500.0
2021-07-15,32500.0
2021-07-16,32500.0
2021-07-19,38350.0
2021-07-20,38350.0
2021-07-21,38350.0
2021-07-22,37500.0
2021-07-23,36650.0
2021-07-26,35850.0
2021-07-27,35850.0
2021-07-28,35850.0
2021-07-29,35850.0
2021-07-30,34150.0
2021-08-02,31650.0
2021-08-03,31650.0
2021-08-04,31650.0
2021-08-05,31650.0
2021-08-06,31650.0
2021-08-09,32500.0
2021-08-10,32500.0
2021-08-11,32500.0
2021-08-12,32500.0
2021-08-13,32500.0
2021-08-16,33350.0
2021-08-17,34175.0
2021-08-18,35000.0
2021-08-19,35000.0
2021-08-20,35000.0
2021-08-23,32500.0
2021-08-24,32500.0
2021-08-25,30850.0
2021-08-26,30850.0
2021-08-27,30850.0
2021-08-30,30000.0
2021-08-31,30000.0
2021-09-01,30000.0
2021-09-02,30000.0
2021-09-03,30000.0
2021-09-06,30000.0
2021-09-07,30000.0
2021-09-08,30000.0
2021-09-09,30850.0
2021-09-10,32500.0
2021-09-13,31650.0
2021-09-14,31650.0
2021-09-15,31650.0
2021-09-16,31650.0
2021-09-17,31650.0
2021-09-20,31650.0
2021-09-21,31650.0
2021-09-22,31650.0
2021-09-23,31650.0
2021-09-24,31650.0
2021-09-27,32000.0
2021-09-28,32000.0
2021-09-29,32000.0
2021-09-30,32000.0
2021-10-01,34150.0
2021-10-04,38350.0
2021-10-05,38350.0
2021-10-06,38350.0
2021-10-07,38350.0
2021-10-08,38350.0
2021-10-11,40850.0
2021-10-12,40850.0
2021-10-13,41650.0
2021-10-14,43350.0
2021-10-15,43350.0
2021-10-18,40850.0
2021-10-19,40850.0
2021-10-20,40850.0
2021-10-21,40850.0
2021-10-22,40850.0
2021-10-25,40850.0
2021-10-26,40850.0
2021-10-27,40850.0
2021-10-28,40850.0
2021-10-29,40850.0
2021-11-01,41650.0
2021-11-02,41650.0
2021-11-03,42500.0
2021-11-04,42500.0
2021-11-05,43350.0
2021-11-08,45000.0
2021-11-09,44150.0
2021-11-10,44150.0
2021-11-11,44150.0
2021-11-12,44150.0
2021-11-15,51650.0
2021-11-16,52500.0
2021-11-17,52500.0
2021-11-18,52500.0
2021-11-19,52500.0
2021-11-22,48350.0
2021-11-23,48350.0
2021-11-24,48350.0
2021-11-25,48350.0
2021-11-26,48350.0
2021-11-29,51650.0
2021-11-30,51650.0
2021-12-01,51650.0
2021-12-02,51650.0
2021-12-03,51650.0
2021-12-06,60000.0
2021-12-07,60000.0
2021-12-08,60000.0
2021-12-09,61650.0
2021-12-10,61650.0
2021-12-13,61650.0
2021-12-14,61650.0
2021-12-15,61650.0
2021-12-16,61650.0
2021-12-17,61650.0
2021-12-20,61650.0
2021-12-21,60000.0
2021-12-22,60000.0
2021-12-23,60000.0
2021-12-24,60000.0
2021-12-27,56650.0
2021-12-28,56650.0
2021-12-29,56650.0
2021-12-30,55000.0
2021-12-31,55000.0
2022-01-03,50000.0
2022-01-04,50000.0
2022-01-05,45850.0
2022-01-06,45850.0
2022-01-07,45000.0
2022-01-10,40000.0
2022-01-11,39150.0
2022-01-12,39150.0
2022-01-13,39150.0
2022-01-14,39150.0
2022-01-17,40000.0
2022-01-18,38350.0
2022-01-19,38350.0
2022-01-20,41650.0
2022-01-21,40000.0
2022-01-24,37500.0
2022-01-25,37500.0
2022-01-26,37500.0
2022-01-27,37500.0
2022-01-28,37500.0
2022-01-31,36650.0
2022-02-01,36650.0
2022-02-02,36650.0
2022-02-03,36650.0
2022-02-04,36650.0
2022-02-07,40000.0
2022-02-08,40000.0
2022-02-09,42500.0
2022-02-10,42500.0
2022-02-11,42500.0
2022-02-14,42500.0
2022-02-15,42500.0
2022-02-16,42500.0
2022-02-17,42500.0
2022-02-18,42500.0
2022-02-21,44150.0
2022-02-22,44150.0
2022-02-23,51650.0
2022-02-24,50000.0
2022-02-25,48350.0
2022-02-28,52500.0
2022-03-01,56650.0
2022-03-02,56650.0
2022-03-03,58325.0
2022-03-04,60000.0
2022-03-07,60850.0
2022-03-08,60850.0
2022-03-09,60850.0
2022-03-10,60850.0
2022-03-11,60850.0
2022-03-14,61650.0
2022-03-15,61650.0
2022-03-16,58350.0
2022-03-17,58350.0
2022-03-18,58350.0
2022-03-21,58350.0
2022-03-22,60000.0
2022-03-23,60000.0
2022-03-24,60000.0
2022-03-25,60000.0
2022-03-28,56650.0
2022-03-29,56650.0
2022-03-30,56650.0
2022-03-31,56650.0
2022-04-01,56650.0
2022-04-04,63350.0
2022-04-05,63350.0
2022-04-06,63350.0
2022-04-07,65000.0
2022-04-08,60000.0
2022-04-11,56650.0
2022-04-12,56650.0
2022-04-13,53350.0
2022-04-14,51650.0
2022-04-15,50825.0
2022-04-18,50000.0
2022-04-19,50000.0
2022-04-20,50000.0
2022-04-21,50000.0
2022-04-22,50000.0
2022-04-25,51650.0
2022-04-26,65850.0
2022-04-27,69150.0
2022-04-28,70000.0
2022-04-29,68214.28571428571
2022-05-02,66428.57142857143
2022-05-03,64642.857142857145
2022-05-04,62857.142857142855
2022-05-05,61071.42857142857
2022-05-06,59285.71428571429
2022-05-09,57500.0
2022-05-10,50850.0
2022-05-11,50850.0
2022-05-12,50850.0
2022-05-13,52500.0
2022-05-16,57500.0
2022-05-17,62500.0
2022-05-18,62500.0
2022-05-19,62500.0
2022-05-20,62500.0
2022-05-23,65850.0
2022-05-24,65000.0
2022-05-25,65000.0
2022-05-26,65825.0
2022-05-27,66650.0
2022-05-30,71650.0
2022-05-31,71650.0
2022-06-01,71650.0
2022-06-02,71650.0
2022-06-03,71650.0
2022-06-06,75850.0
2022-06-07,77500.0
2022-06-08,79150.0
2022-06-09,79150.0
2022-06-10,77500.0
2022-06-13,79150.0
2022-06-14,86650.0
2022-06-15,86650.0
