tanggal,Harga,Cabai_lag_1,Cabai_lag_7,RR_lag_45,RH_lag_30,RR_rolling_mean_14,Bulan
2024-06-15,71650.0,71650.0,65550.0,2.5,70.0,6.949999999999998,6
2024-06-16,71650.0,71650.0,64450.0,5.0,76.0,6.414285714285713,6
2024-06-17,71650.0,71650.0,63350.0,3.9,75.0,5.660714285714285,6
2024-06-18,71650.0,71650.0,65000.0,2.8000000000000003,66.0,3.160714285714285,6
2024-06-19,77500.0,71650.0,65000.0,1.7,70.0,1.4940476190476182,6
2024-06-20,75850.0,77500.0,65000.0,0.0,74.0,0.6607142857142847,6
2024-06-21,75850.0,75850.0,71650.0,3.2,74.0,0.6607142857142847,6
2024-06-22,72783.33333333333,75850.0,71650.0,6.4,78.0,0.6464285714285705,6
2024-06-23,69716.66666666667,72783.33333333333,71650.0,9.6,86.0,0.6464285714285705,6
2024-06-24,66650.0,69716.66666666667,71650.0,0.2,86.0,0.6464285714285705,6
2024-06-25,66650.0,66650.0,71650.0,0.1,77.0,0.6464285714285705,6
2024-06-26,63350.0,66650.0,77500.0,0.0,74.0,1.424999999999999,6
2024-06-27,65000.0,63350.0,75850.0,0.0,72.0,1.324999999999999,6
2024-06-28,65000.0,65000.0,75850.0,0.0,73.0,1.9321428571428563,6
2024-06-29,63616.66666666666,65000.0,72783.33333333333,0.0,69.0,2.0035714285714277,6
2024-06-30,62233.333333333336,63616.66666666666,69716.66666666667,0.0,76.0,4.482142857142856,6
2024-07-01,60850.0,62233.333333333336,66650.0,8.4,83.0,4.452380952380952,7
2024-07-02,60850.0,60850.0,66650.0,16.8,83.0,4.499999999999999,7
2024-07-03,60000.0,60850.0,63350.0,8.4,83.0,4.57142857142857,7
2024-07-04,60000.0,60000.0,65000.0,0.0,75.0,4.57142857142857,7
2024-07-05,60000.0,60000.0,65000.0,0.0,71.0,4.685714285714284,7
2024-07-06,59450.0,60000.0,63616.66666666666,0.0,72.0,5.092857142857142,7
2024-07-07,58900.0,59450.0,62233.333333333336,0.1,76.0,5.7142857142857135,7
2024-07-08,58350.0,58900.0,60850.0,0.2,74.0,6.024999999999999,7
2024-07-09,58350.0,58350.0,60850.0,34.7,77.0,6.024999999999999,7
2024-07-10,58350.0,58350.0,60000.0,1.6,78.0,4.860714285714285,7
2024-07-11,58350.0,58350.0,60000.0,0.8,81.0,4.860714285714285,7
2024-07-12,58350.0,58350.0,60000.0,0.0,79.0,4.253571428571428,7
2024-07-13,57233.333333333336,58350.0,59450.0,0.0,81.0,4.182142857142856,7
2024-07-14,56116.66666666666,57233.333333333336,58900.0,0.0,75.0,1.59642857142857,7
2024-07-15,55000.0,56116.66666666666,58350.0,0.0,79.0,1.572619047619046,7
2024-07-16,55000.0,55000.0,58350.0,31.0,78.0,1.5249999999999986,7
2024-07-17,55000.0,55000.0,58350.0,9.0,71.0,1.4535714285714272,7
2024-07-18,55000.0,55000.0,58350.0,11.3,79.0,1.4535714285714272,7
2024-07-19,56650.0,55000.0,58350.0,35.0,72.0,1.3392857142857129,7
2024-07-20,56100.0,56650.0,57233.333333333336,23.333333333333336,68.0,0.9321428571428555,7
2024-07-21,55550.0,56100.0,56116.66666666666,11.666666666666668,66.0,0.31071428571428417,7
2024-07-22,55000.0,55550.0,55000.0,0.0,63.0,0.0,7
2024-07-23,54150.0,55000.0,55000.0,0.2,65.0,0.0,7
2024-07-24,54150.0,54150.0,55000.0,0.0,73.0,0.0,7
2024-07-25,52500.0,54150.0,55000.0,0.0,80.0,0.0,7
2024-07-26,51650.0,52500.0,56650.0,0.0,76.0,0.0,7
2024-07-27,52216.66666666666,51650.0,56100.0,5.4,80.0,0.0,7
2024-07-28,52783.333333333336,52216.66666666666,55550.0,1.4,82.0,0.0,7
2024-07-29,53350.0,52783.333333333336,55000.0,0.0,85.0,0.0,7
2024-07-30,53350.0,53350.0,54150.0,0.0,78.0,0.0,7
2024-07-31,53350.0,53350.0,54150.0,1.5,76.0,0.0,7
2024-08-01,53350.0,53350.0,52500.0,0.75,80.0,0.0,8
2024-08-02,51650.0,53350.0,51650.0,0.0,69.0,0.45714285714285563,8
2024-08-03,50816.66666666666,51650.0,52216.66666666666,0.0,82.0,3.17142857142857,8
2024-08-04,49983.333333333336,50816.66666666666,52783.333333333336,0.0,79.0,3.799999999999998,8
2024-08-05,49150.0,49983.333333333336,53350.0,0.0,87.0,4.114285714285713,8
